company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
O.C GUITARS LTD,13142533,Dissolved,Private limited company,,2022-05-10,2021-01-19,,,32200,Ogwens Cottage Oak Road Ponciau Wrexham LL14 1HS Wales,LL14 1HS,-3.049545,53.014834
KUNANDY LIMITED,13153600,Dissolved,Private limited company,,2022-09-20,2021-01-25,,,32200 59200 85520 90030,260 Brixton Road London SW9 6AQ England,SW9 6AQ,-0.112972,51.471103
SHELLYSBANEMUSIC LTD,13170851,Dissolved,Private limited company,,2022-05-10,2021-02-01,,,32200,68 Ramsgate Crescent Walney Barrow-In-Furness LA14 3JD England,LA14 3JD,-3.252042,54.107046
CAPOEIRA LUNDA BRASIL LONDON LTD,15307991,Dissolved,Private limited by guarantee without share capital,,2024-04-09,2023-11-24,,,32200 85510 90020 93130,Flat 27 Palace Court 250 Finchley Road London NW3 6DN England,NW3 6DN,-0.18806,51.552879
DIRTY DOG AMPLIFICATION LTD,NI610514,Dissolved,Private limited company,,2016-02-16,2011-12-28,,,32200,118 Grove Road Maghera BT46 5QZ ,BT46 5QZ,-6.662932,54.931395
IRISH ORGAN COMPANY LIMITED,R0000285,Dissolved,Private limited company,,2021-11-16,1898-07-06,,,32200,"Steeple Industrial Estate, Steeple Road, Antrim BT41 1AB ",BT41 1AB,-6.207357,54.719016
MOON GUITARS LIMITED,SC104002,Dissolved,Private limited company,,2022-03-29,1987-04-06,,,32200,Woodburne Whiting Bay Isle Of Arran KA27 8PZ Scotland,KA27 8PZ,-5.094297,55.497357
BELLA’S BANGERS LIMITED,14536925,Dissolved,Private limited company,,2024-05-21,2022-12-12,,,32200,10 Esplanade Burnham-On-Sea TA8 1BH England,TA8 1BH,-2.998559,51.238368
GUITAR GARAGE LTD,09665278,Active,Private limited company,,,2015-07-01,,,32200,C/O Phoenix Bookkeeping & Accountancy Ltd 11 Elm Grove Rotherham S61 4QB United Kingdom,S61 4QB,-1.373144,53.450405
J. DORING LIMITED,15738667,Active,Private limited company,,,2024-05-24,,,32200 47591,Unit 82a James Carter Road Mildenhall Bury St. Edmunds IP28 7DE England,IP28 7DE,0.500747,52.353408
ATLAS HANDPANS LIMITED,12992205,Dissolved,Private limited company,,2024-06-04,2020-11-03,,,32200,105 Thornsbeach Road London SE6 1EY England,SE6 1EY,-0.009566,51.437198
WOODIES CREATIVE LTD,13426659,Dissolved,Private limited company,,2024-06-04,2021-05-28,,,32200 85600 90030,4 Larkhill Sunderland SR2 0DF England,SR2 0DF,-1.369754,54.87399
YEAS/YESII LTD,11492955,Active,Private limited company,,,2018-07-31,,,32200 46190 59200 90030,5 Harcourt Avenue Scarborough YO12 4EX United Kingdom,YO12 4EX,-0.416968,54.269655
MILLER WICKS (N.I.) LIMITED,NI053995,Active,Private limited company,,,2005-02-24,,,32200,24 Knockchree Avenue Kilkeel BT34 4BP Northern Ireland,BT34 4BP,-6.005013,54.059909
D. ROBERTS ORGAN BUILDERS LIMITED,04858170,Active,Private limited company,,,2003-08-06,,,32200,12 Foxcover Court Seaham SR7 7PX England,SR7 7PX,-1.344443,54.828088
FALCON EARS LTD,SC629904,Active,Private limited company,,,2019-05-09,,,22290 32200 47741,44 Montgarrie Street Glasgow G51 4JL Scotland,G51 4JL,-4.339259,55.854737
RAWSON SPARFIELD LOUDSPEAKERS LTD,12057089,Active,Private limited company,,,2019-06-18,,,32200,15 John Fryer Avenue Wincham Northwich CW9 6EG England,CW9 6EG,-2.465211,53.283778
RENAISSANCE WORKSHOP COMPANY LIMITED,03784109,Active,Private limited company,,,1999-06-08,,,32200 47910,6 Marston Way Wetherby West Yorkshire LS22 6XZ ,LS22 6XZ,-1.402059,53.9326
PLAYLIST AGENCY LIMITED,09090711,Active,Private limited company,,,2014-06-17,,,32200,"1st Floor, 104 Oxford Street, Fitzrovia, London W1D 1LP United Kingdom",W1D 1LP,-0.135454,51.516183
BARNES & MULLINS LIMITED,01305000,Active,Private limited company,,,1977-03-25,,,32200 46491,Unit 14 Mile Oak Industrial Estate Maesbury Road Oswestry SY10 8GA ,SY10 8GA,-3.042145,52.844957
HENRY POTTER & CO (DRUMS) LTD,06379265,Active,Private limited company,,,2007-09-24,,,32200,145 Newport Road Aldershot Hampshire GU12 4PY ,GU12 4PY,-0.74495,51.243459
PIANOFORTE MARWOOD LIMITED,05849920,Active,Private limited company,,,2006-06-19,,,32200,No 7 Trent Business Centre Canal Street Long Eaton Nottingham NG10 4HN England,NG10 4HN,-1.280056,52.905573
JAS MUSICALS LIMITED,02595352,Active,Private limited company,,,1991-03-26,,,32200,120 The Broadway Southall UB1 1QF England,UB1 1QF,-0.380976,51.511789
LUMINARY ROLI LIMITED,13407346,Active,Private limited company,,,2021-05-18,,,32200 62090,"326/327 Stean Street, London, E8 4ED United Kingdom",E8 4ED,-0.075384,51.537586
PRIMAS CUSTOM DRUMS LTD,12658964,Active,Private limited company,,,2020-06-10,,,32200,19 Moorbridge Lane Stapleford Nottingham NG9 8GR England,NG9 8GR,-1.274714,52.940609
SOVEREIGN GUITARS LIMITED,04460045,Active,Private limited company,,,2002-06-13,,,32200,"Unit 16 Templars Way Industrial Estate Station Road, Royal Wootton Bassett Swindon SN4 7SR ",SN4 7SR,-1.900947,51.531988
PRELUDE RECORDS LIMITED,02005145,Active,Private limited company,,,1986-04-01,,,18201 32200 59200 90020,Lynwood Bakers Lane Chilcompton Bath BA3 4EW ,BA3 4EW,-2.507079,51.260826
ENGAGE MUSICAL INDUSTRY LTD,12098496,Active,Private limited company,,,2019-07-11,,,32200,5 London Road Rainham Gillingham ME8 7RG England,ME8 7RG,0.601322,51.365026
WHALETONE LTD.,07675326,Active,Private limited company,,,2011-06-20,,,32200,590 Kingston Road London SW20 8DN ,SW20 8DN,-0.225968,51.409621
ACHILTIBUIE HIGHLAND REEDS LTD.,SC256666,Active,Private limited company,,,2003-09-26,,,32200,54 Braekirk Avenue Kirknewton West Lothian EH27 8BL ,EH27 8BL,-3.425454,55.889477
SHEFFIELD METAL POLISHING COMPANY LIMITED,01299672,Dissolved,Private limited company,,2024-07-16,1977-02-22,,,25610 32200,Cunliffe House Castleton Road Hathersage Hope Valley S32 1EG England,S32 1EG,-1.677204,53.334606
ISTANBUL ZIL VE MUZIK ALETLERI SAN TIC LTD STI LTD,14893584,Dissolved,Private limited company,,2024-07-16,2023-05-25,,,32200 46491 47591,284 Chase Road A Block 2nd Floor London N14 6HF United Kingdom,N14 6HF,-0.126685,51.63353
GARY OWENS ORGAN BUILDERS LTD,14282502,Active,Private limited company,,,2022-08-08,,,32200,The Old School Eaton Bishop Hereford HR2 9QW United Kingdom,HR2 9QW,-2.814282,52.044201
GRIMSHAW GUITARS LIMITED,08538054,Active,Private limited company,,,2013-05-21,,,32200 47591,2 Bishopstone Farm Cottages Bishopstone Lane Ansty Haywards Heath RH17 5AR England,RH17 5AR,-0.170108,50.982081
RUBIX DRUMS LIMITED,11080684,Active,Private limited company,,,2017-11-24,,,32200 47591 59200 90020,Unit 3 Belvue Buiness Centre Belvue Road Northolt UB5 5QQ England,UB5 5QQ,-0.361692,51.545979
DOMINIC BALL (WOODWIND) LIMITED,04909587,Active,Private limited company,,,2003-09-24,,,32200 95290,"83 Audley Road, Alsager Stoke-On-Trent Staffordshire ST7 2QW ",ST7 2QW,-2.298248,53.090387
ANDY BAXTERS BASS & GUITARS LIMITED,14610849,Dissolved,Private limited by guarantee without share capital,,2024-06-25,2023-01-23,,,32200,191-193 Walsgrave Road Coventry CV2 4HH England,CV2 4HH,-1.483616,52.41079
MD STEELPANS LTD,09559988,Active,Private limited company,,,2015-04-24,,,32200,2 Henley Road Bradford BD5 8ET England,BD5 8ET,-1.751317,53.772568
LARKMAN VIOLINS LTD,10978558,Active,Private limited company,,,2017-09-23,,,32200,"131 Hayes Lane Hayes, Bromley BR2 9EJ United Kingdom",BR2 9EJ,0.017831,51.386603
ANOMALY GUITAR LIMITED,11654594,Active,Private limited company,,,2018-11-01,,,32200,1-3 Manor Road Chatham ME4 6AE United Kingdom,ME4 6AE,0.521423,51.38297
STEVE LOCK LIMITED,04540991,Active,Private limited company,,,2002-09-20,,,32200,"Utopia, Manningtree Road Stutton Ipswich IP9 2SW ",IP9 2SW,1.127216,51.970648
J.W. WALKER & SONS LIMITED,01085163,Active,Private limited company,,,1972-12-05,,,32200,12 West Street Ware Hertfordshire SG12 9EE ,SG12 9EE,-0.032181,51.811529
FERGUS FLUTES N.I LTD,NI698829,Active,Private limited company,,,2023-07-03,,,32200,18 Copperwood Way Carrickfergus BT38 9BL Northern Ireland,BT38 9BL,-5.793684,54.742397
GENEVA BRASSWIND LIMITED,09961254,Active,Private limited company,,,2016-01-20,,,32200 46491 47591,Biz Hub Tees Valley Belasis Hall Technology Park Coxwold Way Billingham TS23 4EA England,TS23 4EA,-1.265725,54.601255
KUNANDY LTD,15910515,Active,Private limited company,,,2024-08-21,,,32200 46491 59200 85520,Flat 2 Coniston House Wyndham Road London SE5 0UF England,SE5 0UF,-0.097833,51.478861
GONE FISHING EFFECTS LTD,12304194,Active,Private limited company,,,2019-11-08,,,32200,My Trusted Accountant Limited Unit 6 Balfour Court Leyland Preston PR25 2TF England,PR25 2TF,-2.69549,53.695333
GLASTONBURY ENTERPRISES LIMITED,07511467,Active,Private limited company,,,2011-01-31,,,32200 62012 74100,404a Ringwood Road Ferndown BH22 9AU England,BH22 9AU,-1.890748,50.800634
UNISON STRINGS LIMITED,04710290,Active,Private limited company,,,2003-03-25,,,32200 47591 95290,Moseley Violins 2a Tudor Road Moseley Birmingham B13 8HA ,B13 8HA,-1.888887,52.444846
TONY DIXON (MANUFACTURING) LIMITED,06495652,Active,Private limited company,,,2008-02-06,,,32200,Grenville House 9 Boutport Street Barnstaple EX31 1TZ ,EX31 1TZ,-4.060241,51.082937
BARTHOLOMEW GUITARS LTD,13600347,Active,Private limited company,,,2021-09-02,,,16290 32200,Director Generals House 15 Rockstone Place Southampton SO15 2EP England,SO15 2EP,-1.404335,50.914702
TA PROGRAMMING LTD,10342220,Active,Private limited company,,,2016-08-23,,,26400 32200 59200 62011,"Room 2, 1st Floor 7 Blighs Walk Sevenoaks TN13 1DB England",TN13 1DB,0.191643,51.271668
DRONEDRY LIMITED,SC463850,Active,Private limited company,,,2013-11-15,,,23990 24200 32200 46491,10 Larchgrove Road Glasgow G32 0AA ,G32 0AA,-4.154932,55.859552
PURE ACOUSTIC LIMITED,07513892,Active,Private limited company,,,2011-02-02,,,32200,Suite 1 Amersham House Mill Street Berkhamsted HP4 2DT England,HP4 2DT,-0.562759,51.761296
SUUNTOK INTERNATIONAL LIMITED,14722552,Dissolved,Private limited company,,2024-08-20,2023-03-10,,,24200 32200 46491 47591,69 Aberdeen Avenue Cambridge CB2 8DL England,CB2 8DL,0.128992,52.190285
MAYBURY GUITARS LTD,12148461,Active,Private limited company,,,2019-08-09,,,32200,10 Martinsyde Woking GU22 8HT United Kingdom,GU22 8HT,-0.532684,51.319927
JAYDEE GUITARS LIMITED,14983998,Active,Private limited company,,,2023-07-06,,,32200,20 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
GRIFFITHS & CO (ORGAN BUILDERS) LTD,07313721,Active,Private limited company,,,2010-07-14,,,32200,67 London Avenue North End Portsmouth PO2 8BW ,PO2 8BW,-1.082304,50.819207
SUE SCOTT GUITARS LIMITED,09874913,Active,Private limited company,,,2015-11-17,,,32200 82990,29 Whitworth Terrace Spennymoor DL16 7LE England,DL16 7LE,-1.607958,54.695829
PJD GUITARS CUSTOM SHOP LTD,15132932,Active,Private limited company,,,2023-09-12,,,32200,Unit 1 Allerthorpe Business Park York Road Pocklington York YO42 1NS England,YO42 1NS,-0.815113,53.926665
HALFTONE AUDIO LTD,13753567,Active,Private limited company,,,2021-11-18,,,26400 32200,"Ayres House Flat 35, Ayres House 2 Farnfield Close London N8 9FH England",N8 9FH,-0.121903,51.578573
PAPRITECH LTD,15130518,Active,Private limited company,,,2023-09-11,,,32200,24 Bar Gap Road Oldham OL1 3RL England,OL1 3RL,-2.1114,53.547819
EDG NORTH EAST LTD,15957805,Active,Private limited company,,,2024-09-16,,,32200 47591,4 Orchard Drive Durham DH1 1LA England,DH1 1LA,-1.563627,54.781536
CELLA FINE VIOLINS LIMITED,14332896,Active,Private limited company,,,2022-09-02,,,32200 46491 47591,88a Appleton Gate Newark NG24 1LS United Kingdom,NG24 1LS,-0.801025,53.080899
HARMONN LTD,15019504,Active,Private limited company,,,2023-07-21,,,32200,"No.3, 28 Blenheim Terrace, Leeds No.3, 28 Blenheim Terrace Leeds LS2 9HD England",LS2 9HD,-1.55144,53.807563
THOMAS AND GEORGE MARTIN VIOLIN MAKERS LIMITED,06693970,Active,Private limited company,,,2008-09-10,,,32200,Babbington Barn Williamscot Banbury OX17 1AD ,OX17 1AD,-1.30111,52.106688
PSONIC DESIGN LAB LTD,15967707,Active,Private limited company,,,2024-09-19,,,32200,Sackville Cottage High Street Hartfield TN7 4AE United Kingdom,TN7 4AE,0.108113,51.100062
WORLDWIND MUSIC LIMITED,02051711,Active,Private limited company,,,1986-09-02,,,32200,The Granary Hermitage Court Hermitage Lane Maidstone ME16 9NT ,ME16 9NT,0.478818,51.278267
BABY GUITARS LIMITED,14296117,Dissolved,Private limited company,,2024-10-01,2022-08-15,,,32200,14296117 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
AXEFIX LIMITED,13879152,Active,Private limited company,,,2022-01-28,,,32200,3 Lyn Mews London E3 5BJ United Kingdom,E3 5BJ,-0.031993,51.526237
DIGIT AUDIO TECHNOLOGY LIMITED,12970218,Active,Private limited company,,,2020-10-23,,,32200 59200 62090 90020,34 High Street Aldridge Walsall WS9 8LZ England,WS9 8LZ,-1.915548,52.605159
FANCYYYYY LTD,15136566,Active,Private limited company,,,2023-09-13,,,32200,Hilton House Lord Street Stockport SK1 3NA England,SK1 3NA,-2.159064,53.407824
INFECTION MUSIC LIMITED,04836178,Active,Private limited company,,,2003-07-17,,,32200,3 Dunholm Close Houghton-Le-Spring Tyne And Wear DH5 8NX ,DH5 8NX,-1.470957,54.835653
PETER WOOD AND SON ORGAN BUILDERS LIMITED,13510530,Active,Private limited company,,,2021-07-14,,,32200 33190,"Leigh House, 28-32 St Paul's Street Leeds LS1 2JT United Kingdom",LS1 2JT,-1.553524,53.798619
SOUNDCRAFT PIPE ORGAN COMPANY LIMITED,10061376,Active,Private limited company,,,2016-03-14,,,32200 32990,22-24 Harborough Road Kingsthorpe Northampton NN2 7AZ England,NN2 7AZ,-0.900758,52.260368
CHRIS ARMSTRONG BAGPIPE PRODUCTS LTD,SC475524,Dissolved,Private limited company,,2024-07-25,2014-04-17,,,32200,"Begbies Traynor, River Court, 5 West Victoria Dock Road Dundee DD1 3JT ",DD1 3JT,-2.961632,56.45956
CADY LIMITED,NI061016,Active,Private limited company,,,2006-09-27,,,32200,133 Dungannon Road Cookstown BT80 9BD ,BT80 9BD,-6.760267,54.593917
AUNGER GUITARS LTD,11096647,Active,Private limited company,,,2017-12-05,,,32200,8 Garden Place Penshaw Houghton Le Spring DH4 7EQ United Kingdom,DH4 7EQ,-1.487726,54.874896
EUROPA MUSICAL INSTRUMENTS LTD,08339915,Active,Private limited company,,,2012-12-21,,,32200 47591,878 Carmarthen Road Fforestfach Swansea SA5 8HR Wales,SA5 8HR,-3.975925,51.640528
EUROPA MARKETING (UK) LTD,08339932,Active,Private limited company,,,2012-12-21,,,32200 47591,878 Carmarthen Road Fforestfach Swansea SA5 8HR Wales,SA5 8HR,-3.975925,51.640528
LAZY EIGHT LTD.,13941340,Active,Private limited company,,,2022-02-25,,,32200,Union House 111 New Union Street Coventry CV1 2NT United Kingdom,CV1 2NT,-1.510832,52.405061
EUROPA GLOBAL LTD,08339939,Active,Private limited company,,,2012-12-21,,,32200 47591,79-91 New Kings Road London SW6 4SQ England,SW6 4SQ,-0.193646,51.475574
EUROPA DISTRIBUTION LTD,08339925,Active,Private limited company,,,2012-12-21,,,32200 47591,878 Carmarthen Road Fforestfach Swansea SA5 8HR Wales,SA5 8HR,-3.975925,51.640528
GENE MUSIC LTD,15143837,Active,Private limited company,,,2023-09-18,,,32200 62011,20 Bryn Clywedog Coedpoeth Wrexham LL11 3SR Wales,LL11 3SR,-3.072861,53.053371
EAST DURHAM GUITARS LTD,15151609,Active,Private limited company,,,2023-09-20,,,32200 47591,Unit 6 Front Street Industrial Estate Shotton Colliery Durham DH6 2ND England,DH6 2ND,-1.382907,54.763668
MNATZAGANIAN FINE BOWS LIMITED,04548404,Active,Private limited company,,,2002-09-30,,,32200,75 Newnham Street Ely Cambridgeshire CB7 4PQ ,CB7 4PQ,0.266848,52.401216
VIOLINEN JOY LIMITED,15905781,Active,Private limited company,,,2024-08-19,,,32200 46491 59200,48 Purdy Street London E3 3PE England,E3 3PE,-0.01737,51.52403
SARAH BEATON VIOLINS LTD,09042455,Active,Private limited company,,,2014-05-15,,,32200 95290,Milestone Corner Golf Drive Camberley GU15 1JG ,GU15 1JG,-0.724405,51.329438
LEMO MUSIC LTD,15183799,Active,Private limited company,,,2023-10-03,,,32200 46491 47591,58 Slayleigh Lane Sheffield S10 3RH England,S10 3RH,-1.544452,53.368772
FORM AUDIOWORKS LTD,14785152,Active,Private limited company,,,2023-04-06,,,32200 59200,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
MUIRHEAD MUSIC PRODUCTS LTD.,SC579153,Active,Private limited company,,,2017-10-17,,,32200,4 Strathnairn Avenue East Kilbride Glasgow G75 8FW Scotland,G75 8FW,-4.226487,55.758373
ATKIN GUITARS LIMITED,11772172,Active,Private limited company,,,2019-01-17,,,32200,Unit 89 Thomas Way Lakesview International Business Park Canterbury CT3 4NH England,CT3 4NH,1.17347,51.316937
ANDREW JOHNSTON LIGHTING LTD,07879756,Active,Private limited company,,,2011-12-13,,,32200 43390,6 Charlotte Street Bath BA1 2NE England,BA1 2NE,-2.366416,51.383434
MUSTARD FX LIMITED,15927481,Active,Private limited company,,,2024-08-30,,,32200,1 Harbour View Lamorna Cove Penzance TR19 6XQ United Kingdom,TR19 6XQ,-5.566599,50.063745
1TO1MUSIC LTD,NI617461,Active,Private limited company,,,2013-03-21,,,32200 47591 47910 59200,Unit 24 Lowes Industrial Estate 31 Ballynahinch Road Carryduff Belfast BT8 8EH ,BT8 8EH,-5.890107,54.5146
T.S.L.Y.S ENGINEERING LTD,14569378,Active,Private limited company,,,2023-01-04,,,32200,107 Wood Street Patchway Bristol BS34 5AH England,BS34 5AH,-2.581043,51.528313
GMR BASS GUITARS LTD,07747802,Dissolved,Private limited company,,2014-08-12,2011-08-22,,,32200 47591,126 Charing Cross Road London WC2H 0LA United Kingdom,WC2H 0LA,-0.129825,51.515311
SNAREPIN LTD,14070874,Dissolved,Private limited company,,2023-11-21,2022-04-26,,,32200,Little Winters Rocombe Lyme Regis DT7 3RR England,DT7 3RR,-2.957744,50.749015
NITEMPO RECORDS LTD,14107621,Dissolved,Private limited company,,2023-10-17,2022-05-15,,,32200,7 Hazelbury Lane London N9 9BW United Kingdom,N9 9BW,-0.07452,51.621266
TEC-STAR RECORDS LIMITED,14194847,Dissolved,Private limited company,,2023-11-28,2022-06-24,,,32200 59200 93290,"Betta Kutz Commercial Buildings, High Street, London SE25 6EE United Kingdom",SE25 6EE,-0.074151,51.399653
SARUNDO LTD,14194877,Dissolved,Private limited company,,2023-12-05,2022-06-24,,,32200,14194877 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
BUNTER ARTS LTD,13884607,Dissolved,Private limited company,,2023-11-28,2022-02-01,,,14110 32200 46240 59200,Units 4-5 Elm House Paper Mill Lane Bramford IP8 4DD United Kingdom,IP8 4DD,1.102545,52.090166
WU GUOQUAN LTD,13647934,Dissolved,Private limited company,,2023-03-21,2021-09-28,,,32200,13647934 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
LOVE FAMILY LIMITED,13709220,Dissolved,Private limited company,,2023-04-25,2021-10-28,,,32200,13709220 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
VICI DRUM CO. LTD,13714952,Dissolved,Private limited company,,2024-01-23,2021-11-01,,,32200,33 Blakemore Park Atherton Manchester M46 0EY England,M46 0EY,-2.502208,53.529486
DERELICT STUFF LTD,13711679,Dissolved,Private limited company,,2023-04-25,2021-10-29,,,31090 32200 41100,56 Green Lane Burtonwood Warrington WA5 4AQ England,WA5 4AQ,-2.656845,53.436396
GREEN RHYTHM LTD,13196719,Dissolved,Private limited company,,2022-08-16,2021-02-11,,,32200 46491 59200,33 Little Stoke Lane Little Stoke Bristol BS34 6HS England,BS34 6HS,-2.555977,51.526169
TORCHA RECORDS LTD,14490058,Dissolved,Private limited company,,2024-04-23,2022-11-17,,,32200,38 Pym Street Manchester M40 9WE England,M40 9WE,-2.199706,53.513008
GERMAN SONGLING WOLF GROUP LIMITED,14388477,Dissolved,Private limited company,,2024-03-05,2022-09-30,,,12000 24540 25990 32200,"Floor 1, Office 25 22 Market Square London E14 6BU United Kingdom",E14 6BU,-0.0145,51.512138
SOUND MUSIC PROFESIONAL LTD,13393164,Dissolved,Private limited company,,2022-10-18,2021-05-13,,,32200,72 Cowper Street Northampton NN1 3QR United Kingdom,NN1 3QR,-0.885096,52.245152
WEST SUSSEX GUITAR SERVICES LTD,13477033,Dissolved,Private limited company,,2023-07-18,2021-06-25,,,32200,The Workshop 3 Market Square The Anchor 3 Market Square Horsham RH12 1EU United Kingdom,RH12 1EU,-0.328292,51.06171
ORGSYNTH LTD,13488034,Dissolved,Private limited company,,2023-11-07,2021-07-01,,,32200,Unit 6 Lawrence Hill Business Centre Saxon Way Wincanton BA9 9RT United Kingdom,BA9 9RT,-2.421721,51.050795
SOUNDZEND LTD,13164242,Dissolved,Private limited by guarantee without share capital,,2022-07-05,2021-01-28,,,18201 32200 47591 59200,5 Flowerdown Road Locking Weston-Super-Mare BS24 7AB England,BS24 7AB,-2.89796,51.332054
LEI ZHANG LTD,13639107,Dissolved,Private limited company,,2023-03-21,2021-09-23,,,32200,180 Woodlands Lane Bedworth CV12 0ND England,CV12 0ND,-1.49567,52.483104
FILOTIMO UK LTD,12089462,Dissolved,Private limited company,,2021-03-30,2019-07-06,,,32200 56210 70229 90020,"101 Doddsfield Road Berks, Slough SL2 2BB England",SL2 2BB,-0.626056,51.537055
TENDERFOOT ELECTRONICS LTD,11591352,Dissolved,Private limited company,,2021-03-23,2018-09-27,,,32200,Bramble Cottage Church St Marsh Gibbon OX27 0HQ England,OX27 0HQ,-1.060158,51.902749
STUDIO 7 MUSIC REPAIRS LTD,12248034,Dissolved,Private limited company,,2021-01-12,2019-10-07,,,32200 33190 47591,6 Leonard Lane Bristol BS1 1EA England,BS1 1EA,-2.595433,51.4546
STEFFO CALZONE LIMITED,10523565,Dissolved,Private limited company,,2018-05-29,2016-12-13,,,32200 53202 59200 96040,184 Lloyds Avenue Kessingland Lowestoft NR33 7TU United Kingdom,NR33 7TU,1.715109,52.41984
ALYWIND LTD,10356713,Dissolved,Private limited company,,2019-11-12,2016-09-02,,,26110 32200 46491 46520,"3 Gower Street, 1st Floor London WC1E 6HA United Kingdom",WC1E 6HA,-0.130228,51.519895
SWINGLEHURST GUITARS LIMITED,10365291,Dissolved,Private limited company,,2019-11-19,2016-09-08,,,32200,20 Kilmarnock Drive Kilmarnock Drive Luton LU2 7YP United Kingdom,LU2 7YP,-0.410527,51.90745
THE CAMBRIDGE DRUM COMPANY LIMITED,07648901,Dissolved,Private limited company,,2019-01-15,2011-05-26,,,32200,Unit C Broad Lane Cottenham CB24 8SW ,CB24 8SW,0.123819,52.293193
QATEC LIMITED,07257512,Active,Private limited company,,,2010-05-18,,,32200 71121 71129 74909,6 Wheeley Road Solihull B92 9PB England,B92 9PB,-1.766003,52.429132
JOBS UK MORAYSHIRE LTD,15115222,Active,Private limited company,,,2023-09-05,,,32200 32300 32990 78109,270 Slade Road Birmingham B23 7LX England,B23 7LX,-1.856519,52.517495
SILKTONE VIOLIN PRODUCTS LIMITED,04960495,Active,Private limited company,,,2003-11-11,,,32200,14 Courtfield Crescent Harrow HA1 2JZ United Kingdom,HA1 2JZ,-0.327407,51.584181
A C PILMER AUTOMATIC MUSIC LTD,02050624,Active,Private limited company,,,1986-08-29,,,32200,Ridingwood Farm Upper Common Lane Clayton West Huddersfield HD8 9LN ,HD8 9LN,-1.609254,53.587753
1066 GROUP LTD,09913626,Active,Private limited company,,,2015-12-11,,,32200 46491 47591,20-24 Pierce Lane Fulbourn Cambridge CB21 5DL United Kingdom,CB21 5DL,0.217013,52.184428
SHIRES ORGAN PIPES LIMITED,05601081,Active,Private limited company,,,2005-10-24,,,32200,Unit 7a-C Spence Mills Mill Lane Bramley Leeds LS13 3HE ,LS13 3HE,-1.647125,53.811046
TEIFI HARPS LIMITED,14650119,Active,Private limited company,,,2023-02-08,,,32200,Gwndwn Bridell Cardigan SA43 3DH Wales,SA43 3DH,-4.66816,52.032705
GECA CUSTOMS LTD,14377342,Dissolved,Private limited company,,2024-11-12,2022-09-26,,,32200 47591,34 Dundee Street Barrow-In-Furness LA14 2RR England,LA14 2RR,-3.227038,54.104625
X-REED LIMITED,10580505,Active,Private limited company,,,2017-01-24,,,32200,3 Tyler Close Canterbury CT2 7BD United Kingdom,CT2 7BD,1.077753,51.292789
TURNSTONE GUITAR COMPANY LIMITED,13272699,Active,Private limited company,,,2021-03-17,,,32200,Unit 2 Plumyfeather Farm Plumyfeather Lane Lye Green Crowborough TN6 1UX England,TN6 1UX,0.160244,51.09321
THE TROPICAL GROUP LIMITED,03737038,Active,Private limited company,,,1999-03-19,,,32200 62012 62020 70229,"Chimneys Boughton Hall Avenue, Send Woking GU23 7DD ",GU23 7DD,-0.51316,51.284159
MORLEY INSTRUMENTS LIMITED,00456856,Active,Private limited company,,,1948-06-30,,,32200 74990,"34,Engate Street, London, SE13 7HA ",SE13 7HA,-0.01306,51.459451
THE ALCHEMY GUITAR COMPANY LIMITED,07955920,Active,Private limited company,,,2012-02-20,,,32200,28 Station Road Holton Heath Poole BH16 6JT ,BH16 6JT,-2.082123,50.714937
WEYMOUTH PIANOS LIMITED,08900847,Active,Private limited company,,,2014-02-18,,,32200,G16 Lynch Lane Offices Egdon Hall Lynch Lane Weymouth DT4 9DN England,DT4 9DN,-2.489638,50.606921
TANUSA LTD,14856682,Dissolved,Private limited company,,2024-10-22,2023-05-09,,,32200 47910,32a Stuart Street Luton LU1 2SW England,LU1 2SW,-0.420717,51.879318
AUZA LTD,13230882,Active,Private limited company,,,2021-02-26,,,32200,"3rd Floor, 86-90 Paul Street London EC2A 4NE England",EC2A 4NE,-0.083602,51.525617
CUTLASSES INSTRUMENTS LIMITED,16108143,Active,Private limited company,,,2024-11-28,,,32200,"6 The Mews, Towergate Preston Brighton BN1 6TU United Kingdom",BN1 6TU,-0.154014,50.847124
APOLLO VIEW MODULAR LTD,14030670,Active,Private limited company,,,2022-04-06,,,26400 32200,27a Telegraph Hill Higham Rochester ME3 7NW England,ME3 7NW,0.461501,51.413177
SOUTH WEST PIANO RESTORATIONS LTD,13524093,Dissolved,Private limited company,,2024-12-17,2021-07-22,,,32200,23 Alfords Ridge Coleford Radstock BA3 5YJ England,BA3 5YJ,-2.440965,51.241231
